Intent,Final Resolution,
Unable_to_approve_Requisition,"To approve a Requisition:
1. Navigate to Main Menu > eProcurement > Manage Requisition Approvals
2. Enter the Requisition ID and Business Unit
3. Select from the list the Requisition to be approved
4. Click “Approve”",
Speed_Charts,"Your Department's Accounting Team is responsible for entering Speed Charts into FI$Cal for your department.

Please check:
1.Whether Accounting has entered the desired Speed Charts in system with SetID as your business unit
2.If the SetID for the Speed Charts is ""STATE,"" the Speed Charts will not be available to select onyour transaction. They must be deactivated and a new Speed Chart must be created with SetID equal to your department's business unit
3.The security option checkbox must be selected for ""Universal ( All Users )""
If you still have issues regarding Speed Charts after checking on the above mentioned points with your department's accounting team, then raise an incident with the FI$Cal Service Center",
Chart_field_not_appearing_,"When a Buyer leaves a department, FI$Cal will not allow any other Buyers to create and save receipts for POs created by that Buyer. To resolve this issue, raise a ticket with the FI$Cal Service Center via email (fiscalservicecenter@fiscal.ca.gov ) or ServiceNow for further assistance.",
Budget_Check_Requisition_,"To budget check a requisition: 
1. Navigate to Main Menu > eProcurement > Manage Requisitions
2. Enter you Business Unit and Requisition ID and click on Search
3. Select your requisition ID
4. Scroll to the Right and select the action ""Check Budget"" from the Drop down menu and click on ""Go"" button
5. Verify whether the budget Check status is ""Valid""",
Change_Conflict_error_,"The “Change Conflict” error occurs when the data you have entered is conflicting with already saved data. In Conflicting change errors you can check the subcontracting link to see if there are two rows present for the same supplier and if in both rows the primary vendor flag has been checked. If so:

1. Open the PO and click on the subcontracting link 
2. Click on the Supplier Search and then select any Bidder ID 
3. Click on ""OK"" 
4. Again Click on ""OK"" 
5. Click on the Subcontracting link again 
6. Delete the 2nd row which has the Bidder ID selected in above steps 
7. Click on ""OK"" and save the PO. This time the error message will not appear

You can also refer to Knowledge Article KB0062197 in ServiceNow for additional details. If there is not a duplicate Supplier row in the Subcontracting link, then raise a ticket with the FI$Cal Service Center.",
Requisition_Attachments,"Requisition header attachments are not visible from the Approver's Navigation in PeopleSoft.To view the Header Attachment:

1. Navigate to eProcurement > Manage Requisition 
2. Enter the Business Unit and Requisition ID and click on Search
3. Click on the Requisition ID
4. Click on the Header Comments Attachment and the Line Comments Attachment Icon to view attachments at the Header and Line respectively",
Accounting_Date_issue_,"FI$Cal does not allow users to save any changes made to a PO which has its Accounting Date in a Closed Period. To change the Accounting date of a PO:

1. Open the PO
2. Click on Header Details
3. Make the Accounting Date as the current date and then click on ""OK"" 
4. Try to save the PO

Follow the link below for a job aid that explains the steps to change an accounting date of a PO:

http://www.fiscal.ca.gov/access-fiscal/documents/FISCAL.303-AmendingaPOthathasaClosedAccountingPeriod1.0.docx",
PO_Closure_,"Once a PO is closed and budget checked is in ""Valid"" status, the the system liquidates the outstanding encumbrance for that PO. Steps to Close a PO:

1. Navigate to Main Menu > Purchasing > Purchase Orders > Buyer’s Workbench
2. Enter the Business Unit and Workbench ID then click on ""Add""
3. Enter the PO ID and click on ""Search"". Enter the Description, check the PO Number box and click on ""Close""
4. Click the PO Number box in the ""Not Qualified"" column
5. Click on arrow icon to push it into qualified column
6. Click on ""Yes"" and it will Close the PO
7. Click on Budget Check once the PO is Closed
8. Click on ""Yes"" when asked to proceed
9. Navigate to Main Menu > Purchasing > Purchase Orders > Review PO Information > PO to check if the PO has been closed and disencumbered successfully

Refer to job aid ""FI$Cal.362"" that provides department users with instructions on how to close POs:

http://www.fiscal.ca.gov/access-fiscal/procurementjobaids.html",
Chart_fields_grayed_out,"You must create a Change Order on a PO to edit the chart fields. If the Chart Fields of a PO are not editable even after creating a Change Order, then check whether any Receipts or Vouchers have been created from the PO lines. The system does not allows any modifications of chart fields if there are any Receipts or Vouchers created from one of the PO lines. To edit the Chart Fields for such PO's:

1. Delete any Voucher associated with the PO line that needs to be modified
2. Cancel any Receipt created from PO line that needs to be modified

If you continue to face issues after following the above mentioned steps then submit a ticket to the FI$Cal Service Center for further assistance.",
Discount_on_PO,"If you need to create a PO discounted amount but you need the Sales Tax to be calculated on the original amount, follow these steps:

1. Create a PO with two PO Lines 
2. In the first line put the original amount of the item and apply sales tax on it. The system will calculate the sales tax on the original amount of the item.
3. In the second line provide the discount given by the supplier as a negative amount and make this line as ""Item Exempt.""

EXAMPLE: Your item's cost is $100 and the sales tax is 8.75%. The supplier has provided you with a discount of $20. Create a PO with two PO lines. Enter the first line as $100 and the system will calculate the appropriate 8.75% sales tax. In the second line put the amount as $-20, and check line 2 as ""Item exempt"" (making line 2 non-taxable). The PO calculates sales tax amount of $8.75 and the merchandise amount $80.",
